Cote,Titre,Auteur,Lieu,Edition,Annee,Nb pages,Matiere,Inventaire
011/07,فهرس المخطوطات العربية التركية والفارسية والبوسنوية,"(إعداد) فهيم علي, ناميتاك",لندن - سرايفو,مكتبة الغازي منسروبك,1998.0,310.0,ببليوغرافيا,INV_BUA_1
02/02,مقدمة إلى نظم المكتبة المبنية على الحاسوب,"أ. تيد, لوسي",عمان,المنظمة العربية للعلوم الإدارية,1985.0,465.0,علم المكتبات,INV_BUA_2
3/43,عندما يحترم الصراع دليل عملي لاستخدام الوساطة في حل النزاعات.,أ. سليكيو كارل.,القاهرة.,الدار الدولية للنشر والتوزيع.,1999.0,348.0,العلوم الاجتماعية.,INV_BUA_3
32/83,التحليل السياسي الحديث,"أ.د, آل روبرت",القاهرة,مركز الأهرام للترجمة والنشر,1993.0,204.0,العلوم السياسية,INV_BUA_4
330.114/01,جدل حول التقدم,"أباظة, ابراهيم دسوقي",البيضاء,دار الكتاب,1975.0,30.0,الاقتصاد السياسي,INV_BUA_5
297.911/06,الإقتصاد الإسلامي : مقوماته ومناهجه,"أباظه, إبراهيم دسوقي",القاهرة,مؤسسة دار الشعب للصحافة,1973.0,159.0,الإسلام والعلوم الإقتصادية,INV_BUA_6
297.911/06 مكرر,الإقتصاد الإسلامي : مقوماته ومنهاجه,"أباظه, إبراهيم دسوقي",القاهرة,مؤسسة دار الشعب للصحافة,1973.0,159.0,الإسلام والعلوم الإقتصادية,INV_BUA_7
611/01,علم التشريح لطلاب كليات التربية الرياضية,"إبراهيم الدوري, قيس",بغداد,دار المعرفة,1980.0,443.0,علم التشريح,INV_BUA_8
611/01 مكرر,علم التشريح لطلاب كليات التربية الرياضية,"إبراهيم الدوري, قيس",بغداد,دار المعرفة,1980.0,443.0,علم التشريح,INV_BUA_9
93:297/28,تاريخ الاسلام السياسي والديني والثقافي والاجتماعي. ج1,"إبراهيم حسن, حسن",القاهرة,مكتبة النهضة المصرية,1964.0,581.0,التاريخ الاسلامي,INV_BUA_10
93:297/29,تاريخ الاسلام السياسي والديني والثقافي والإجتماعي. ج2,"إبراهيم حسن, حسن",القاهرة,مكتبة النهضة المصرية,1964.0,506.0,التاريخ الاسلامي,INV_BUA_11
93:297/30,تاريخ الاسلام السياسي والديني والثقافي والاجتماعي. ج3,"إبراهيم حسن, حسن",القاهرة,مكتبة النهضة المصرية,1964.0,500.0,التاريخ الاسلامي,INV_BUA_12
159.9/34 مكرر,سيكلوجية المرأة العاملة,"إبراهيم عبد الفتاح, كاميليا",بيروت,دار النهضة العربية,1984.0,325.0,علم النفس,INV_BUA_13
801.56/74,التأنيث في اللغة العربية,"إبراهيم, بركات إبراهيم",القاهرة,دار الوفاء للطباعة والنشر والتوزيع,1988.0,357.0,النحو العربي,INV_BUA_14
92/87 مكرر,المغاربة والبحر,"إبراهيم, حركات",معرض لشبونة,المملكة المغربية,1998.0,32.0,تاريخ المغرب,INV_BUA_15
964/202 مكرر,المغاربة والبحر,"إبراهيم, حركات",معرض لشبونة,المملكة المغربية,1998.0,32.0,تاريخ المغرب,INV_BUA_16
93:297/31,تاريخ الاسلام السياسي والديني والثقافي والاجتماعي. الجزء الرابع,"إبراهيم, حسن حسن",القاهرة,مكتبة النهضة المصرية,1964.0,702.0,التاريخ الاسلامي,INV_BUA_17
101.9/09,هيجل أو المثالية المطلقة. الجزء الأول,"إبراهيم, زكريا",القاهرة,مكتبة مصر,1970.0,477.0,شخصيات فلسفية : هيجل,INV_BUA_18
140/01,"مشكلة البنية أو أضواء على ""البنيوية""","إبراهيم, زكريا",مصر,مكتبة مصر,1976.0,264.0,فلسفة: البنيوية,INV_BUA_19
18.01/06,فلسفة الفن في الفكر المعاصر,"إبراهيم, زكريا",القاهرة,مكتبة مصر,1966.0,420.0,فلسفة الجمال,INV_BUA_20
82.09/11,تاريخ النقد الأدبي عند العرب من العصر الجاهلي الى القرن الرابع الهجري,"إبراهيم, طه أحمد",بيروت,دار الحكمة,1983.0,189.0,النقد الأدبي,INV_BUA_21
82.09/97,تاريخ النقد الادبي عند العرب في العصر الجاهلي إلى القرن الرابع الهجري,"إبراهيم, طه أحمد",بيروت,دار الكتب العلمية,1983.0,188.0,النقد الادبي,INV_BUA_22
82-31_533/01,القصة اليمنية المعاصرة (1939 -1976),"إبراهيم, عبد الحميد",بيروت,دار العودة,1977.0,415.0,الرواية,INV_BUA_23
159.97/11,"العلاج النفسي الحديث, قوة للإنسان","إبراهيم, عبد الستار",القاهرة,مكتبة مدبولي,1983.0,207.0,علم النفس المرضي,INV_BUA_24
801.56/08,النحو الوظيفي,"إبراهيم, عبد العليم",القاهرة,دار المعارف,1978.0,443.0,النحو العربي,INV_BUA_25
371/29,المناهج: أسسها وتنظيماتها وتقويم أثرها,"إبراهيم, عبد اللطيف فؤاد",القاهرة,مكتبة مصر,1980.0,654.0,مناهج وطرق التدريس,INV_BUA_26
297.95/18,الإسلام في آفاق سنة ألفين,"إبراهيم, عبد الله",الدار البيضاء,مكتبة النجاح الجديدة,1979.0,109.0,الإسلام والقضايا العالمية المعاصرة,INV_BUA_27
